Month,Borough,Equipment Type,Common Name,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
1/1/23,Brooklyn,Elevator,EL761,5,1,4,0,135.0,0.991263441,122.9166667,124.0,0.956989247,118.6666667,124.0,0.973947133,724.6166667,744.0,KINGSHWY-BWY-B/Q,51,Kings Hwy - Station,51
1/1/23,Manhattan,Elevator,EL17X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,CORTLANDTST-BWY-R,21,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)",624
1/1/23,Manhattan,Elevator,EL292,2,2,0,0,29.0,1.0,124.0,124.0,1.0,124.0,124.0,0.989112903,735.9,744.0,1AV-CNR-L,119,1 Av - Station,119
1/1/23,Brooklyn,Elevator,EL757,3,1,2,1,25.0,1.0,124.0,124.0,1.0,124.0,124.0,0.984117384,732.1833333,744.0,EASTERNPKWY-BROOKLYNMUSEUM-EPK-2/3,341,Eastern Pkwy-Brooklyn Museum - Station,341
1/1/23,Queens,Elevator,EL414,3,3,0,0,276.0,0.993951613,123.25,124.0,1.0,124.0,124.0,0.989807348,736.4166667,744.0,FLUSHING-MAINST-FLS-7,447,Flushing-Main St - Station,447
1/1/23,Brooklyn,Elevator,EL765,2,2,0,0,26.0,1.0,124.0,124.0,1.0,124.0,124.0,0.987275986,734.5333333,744.0,GREENPOINTAV-XTN-G,283,Greenpoint Av - Station,283
1/1/23,Queens,Elevator,EL421,4,3,1,1,204.0,0.989247312,122.6666667,124.0,0.992607527,123.0833333,124.0,0.980264337,729.3166667,744.0,JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R,267,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
1/1/23,Queens,Elevator,EL431,3,2,1,0,210.0,1.0,124.0,124.0,1.0,124.0,124.0,0.98546147,733.1833333,744.0,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
1/1/23,Brooklyn,Elevator,EL739,4,2,2,2,42.0,0.988844086,122.6166667,124.0,0.98077957,121.6166667,124.0,0.981608423,730.3166667,744.0,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
1/1/23,Manhattan,Elevator,EL722,4,2,2,0,109.0,0.983870968,122.0,124.0,1.0,124.0,124.0,0.980353943,729.3833333,744.0,FULTONST-NAS-J/Z,106,"Fulton St (A,C,J,Z,2,3,4,5)",628
1/1/23,Manhattan,Elevator,EL265,1,1,0,0,72.0,1.0,124.0,124.0,1.0,124.0,124.0,0.994130824,739.6333333,744.0,72ST-2AV-Q,477,72 St - Station,477
1/1/23,Manhattan,Elevator,EL200X,0,0,0,0,,0.774193548,96.0,124.0,0.767069892,95.11666667,124.0,0.773006272,575.1166667,744.0,34ST-HERALDSQ-BWY-M/N/R/Q,12,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
1/1/23,Queens,Elevator,EL439,5,2,3,1,104.0,0.983198925,121.9166667,124.0,1.0,124.0,124.0,0.978382616,727.9166667,744.0,FORESTHILLS-71AV-QBL-E/F/M/R,261,Forest Hills-71 Av - Station,261
1/1/23,Manhattan,Elevator,EL238,17,4,13,0,278.0,0.953494624,118.2333333,124.0,0.813575269,100.8833333,124.0,0.877240143,652.6666667,744.0,66ST-LINCOLNCENTER-BWY7-1,314,66 St-Lincoln Center - Station,314
1/1/23,Queens,Elevator,EL413,3,1,2,0,13.0,1.0,124.0,124.0,1.0,124.0,124.0,0.990188172,736.7,744.0,JAMAICACENTER-PARSONS/ARCHER-QBL-E/J/Z,278,Jamaica Center-Parsons/Archer - Station,278
1/1/23,Bronx,Elevator,EL197,2,2,0,0,98.0,1.0,124.0,124.0,0.996236559,123.5333333,124.0,0.99280914,738.65,744.0,HUNTSPOINTAV-PEL-6,371,Hunts Point Av - Station,371
1/1/23,Brooklyn,Elevator,EL378,2,2,0,0,126.0,1.0,124.0,124.0,1.0,124.0,124.0,0.989135305,735.9166667,744.0,BAYPKWY-WST-D,68,Bay Pkwy - Station,68
1/1/23,Manhattan,Elevator,EL212,7,2,5,0,9.0,0.996639785,123.5833333,124.0,1.0,124.0,124.0,0.981966846,730.5833333,744.0,34ST-HERALDSQ-BWY-M/N/R/Q,12,"34 St-Herald Sq (B,D,F,M,N,Q,R)",607
1/1/23,Manhattan,Elevator,EL203X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,LEXINGTONAV/53ST-QBL-E/M,275,"Lexington Av-53 St (E,M)/51 St (6)",612
1/1/23,Brooklyn,Elevator,EL302,8,4,4,1,225.0,0.929704301,115.2833333,124.0,0.88266129,109.45,124.0,0.918525986,683.3833333,744.0,ATLANTICAV-BARCLAYSCTR-4AV-D/N/R,27,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
1/1/23,Queens,Elevator,EL489X,0,0,0,0,,0.57688172,71.53333333,124.0,0.580645161,72.0,124.0,0.580017921,431.5333333,744.0,AQUEDUCT-RACETRACK-RKY-A,196,Aqueduct-Racetrack - Station,196
1/1/23,Queens,Elevator,EL430,1,1,0,0,203.0,1.0,124.0,124.0,0.967741935,120.0,124.0,0.989919355,736.5,744.0,QUEENSPLAZA-QBL-E/M/R,273,Queens Plaza - Station,273
1/1/23,Manhattan,Elevator,EL116,2,2,0,0,14.0,0.983870968,122.0,124.0,0.997311828,123.6666667,124.0,0.983534946,731.75,744.0,190ST-8AV-A,145,190 St - Station,145
1/1/23,Brooklyn,Elevator,EL317,2,1,1,1,22.0,1.0,124.0,124.0,0.996639785,123.5833333,124.0,0.989090502,735.8833333,744.0,BOROUGHHALL-CLK-2/3,335,"Court St (R)/Borough Hall (2,3,4,5)",620
1/1/23,Brooklyn,Elevator,EL747X,0,0,0,0,,0.735215054,91.16666667,124.0,0.772446237,95.78333333,124.0,0.74984319,557.8833333,744.0,HOYT-SCHERMERHORN-8AV-A/C/G,175,Hoyt-Schermerhorn - Station,175
1/1/23,Manhattan,Elevator,EL264,2,1,1,0,72.0,1.0,124.0,124.0,0.98172043,121.7333333,124.0,0.990344982,736.8166667,744.0,72ST-2AV-Q,477,72 St - Station,477
1/1/23,Manhattan,Elevator,EL228,2,1,1,0,247.0,1.0,124.0,124.0,1.0,124.0,124.0,0.992047491,738.0833333,744.0,34ST-PENNSTATION-8AV-A/C/E,164,34 St-Penn Station - Station,164
1/1/23,Manhattan,Elevator,EL602,3,2,1,0,88.0,1.0,124.0,124.0,0.976612903,121.1,124.0,0.988799283,735.6666667,744.0,34ST-HUDSONYARDS-FLS-7,471,34 St-Hudson Yards - Station,471
1/1/23,Queens,Elevator,EL465,9,3,6,1,30.0,1.0,124.0,124.0,0.860215054,106.6666667,124.0,0.949887993,706.7166667,744.0,ASTORIABLVD-AST-N/Q,2,Astoria Blvd - Station,2
1/1/23,Queens,Elevator,EL422,1,1,0,0,204.0,1.0,124.0,124.0,1.0,124.0,124.0,0.993391577,739.0833333,744.0,JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R,267,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616
1/1/23,Queens,Elevator,EL445X,0,0,0,0,,0.649193548,80.5,124.0,0.708064516,87.8,124.0,0.678584229,504.8666667,744.0,COURTSQ-FLS-7,462,"Court Sq (E,G,M,7)",606
1/1/23,Manhattan,Elevator,EL607X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,GRANDCENTRAL-42ST-LEX-S,469,"Grand Central-42 St (S,4,5,6,7)",610
1/1/23,Manhattan,Elevator,EL441,4,1,3,3,73.0,1.0,124.0,124.0,0.967741935,120.0,124.0,0.94984319,706.6833333,744.0,LEXINGTONAV/63ST-63S-F/Q,223,Lexington Av/63 St - Station,223
1/1/23,Manhattan,Elevator,EL229,2,2,0,0,236.0,1.0,124.0,124.0,1.0,124.0,124.0,0.992450717,738.3833333,744.0,TIMESSQ-42ST-BWY-N/R/Q,11,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
1/1/23,Brooklyn,Elevator,EL397,4,1,3,0,179.0,0.870967742,108.0,124.0,0.891801075,110.5833333,124.0,0.885170251,658.5666667,744.0,MYRTLE-WYCKOFFAVS-CNR-L,128,"Myrtle-Wyckoff Avs (L,M)",630
1/1/23,Manhattan,Elevator,EL145,7,3,4,0,146.0,0.989516129,122.7,124.0,0.981048387,121.65,124.0,0.967204301,719.6,744.0,96ST-BWY7-1/2/3,310,96 St - Station,310
1/1/23,Manhattan,Elevator,EL290X,0,0,0,0,,0.0,0.0,124.0,0.0,0.0,124.0,0.0,0.0,744.0,42ST/PORTAUTHORITY-BUSTERMINAL-8AV-A/C/E,163,"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",611
1/1/23,Queens,Elevator,EL424,2,2,0,0,69.0,1.0,124.0,124.0,1.0,124.0,124.0,0.988575269,735.5,744.0,BRIARWOOD-QBL-E/F,258,Briarwood - Station,258
1/1/23,Queens,Elevator,EL433,2,1,1,0,211.0,1.0,124.0,124.0,1.0,124.0,124.0,0.992697133,738.5666667,744.0,JAMAICA-179ST-QBL-F,254,Jamaica-179 St - Station,254
1/1/23,Brooklyn,Elevator,EL395,0,0,0,0,238.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,FLUSHINGAV-JAM-J/M,98,Flushing Av - Station,98
1/1/23,Queens,Elevator,EL434,3,1,2,0,174.0,0.931586022,115.5166667,124.0,0.92405914,114.5833333,124.0,0.921931004,685.9166667,744.0,KEWGARDENS-UNIONTPKE-QBL-E/F,259,Kew Gardens-Union Tpke - Station,259
1/1/23,Manhattan,Elevator,EL11X,0,0,0,0,,1.0,124.0,124.0,1.0,124.0,124.0,1.0,744.0,744.0,CORTLANDTST-7AV-1,328,Cortlandt St - Station,328
1/1/23,Manhattan,Elevator,EL117,7,3,4,4,29.0,0.935483871,116.0,124.0,0.849462366,105.3333333,124.0,0.876836918,652.3666667,744.0,181ST-8AV-A,146,181 St - Station,146
