Halsey St (L),"4,042"
"Hewes St (J,M)","1,572"
"High St (A,C)","4,085"
"Hoyt St (2,3)","3,256"
"Hoyt-Schermerhorn Sts (A,C,G)","5,261"
"Jay St-MetroTech (A,C,F,R)","14,340"
Jefferson St (L),"3,802"
Junius St (3),"1,156"
"Kings Hwy (B,Q)","10,331"
Kings Hwy (F),"1,864"
Kings Hwy (N),"2,720"
Kingston Av (3),"2,353"
Kingston-Throop Avs (C),"2,891"
Knickerbocker Av (M),"2,204"
Kosciuszko St (J),"2,649"
Lafayette Av (C),"2,350"
Liberty Av (C),"1,307"
Livonia Av (L),"1,317"
"Lorimer St (J,M)","2,361"
Lorimer St (L)/Metropolitan Av (G),"6,893"
"Marcy Av (J,M,Z)","6,476"
Montrose Av (L),"3,512"
Morgan Av (L),"3,532"
"Myrtle Av (J,M,Z)","5,348"
Myrtle-Willoughby Avs (G),"2,955"
"Myrtle-Wyckoff Avs (L,M)","10,038"
Nassau Av (G),"4,647"
Neck Rd (Q),"2,077"
Neptune Av (F),777
"Nevins St (2,3,4,5)","4,164"
New Lots Av (3),"2,652"
New Lots Av (L),"2,209"
New Utrecht Av (N)/62 St (D),"2,814"
"Newkirk Av (2,5)","3,697"
"Newkirk Plaza (B,Q)","5,305"
"Norwood Av (J,Z)","1,522"
Nostrand Av (3),"1,846"
"Nostrand Av (A,C)","8,121"
Ocean Pkwy (Q),"1,671"
Park Pl (S),804
Parkside Av (Q),"3,159"
Pennsylvania Av (3),"2,294"
"President St (2,5)","1,818"
Prospect Av (R),"2,828"
"Prospect Park (B,Q,S)","4,765"
Ralph Av (C),"2,713"
Rockaway Av (3),"2,467"
Rockaway Av (C),"2,628"
Saratoga Av (3),"2,760"
"Sheepshead Bay (B,Q)","6,693"
Shepherd Av (C),"1,511"
"Smith-9 Sts (F,G)","2,243"
"Sterling St. (2,5)","2,879"
Sutter Av (L),"1,713"
Sutter Av-Rutland Rd (3),"3,422"
Union St (R),"3,348"
"Utica Av (A,C)","6,989"
Van Siclen Av (3),"1,335"
Van Siclen Av (C),"1,400"
"Van Siclen Av (J,Z)","1,473"
"West 8 St-New York Aquarium (F,Q)","1,285"
Wilson Av (L),"2,310"
"Winthrop St (2,5)","4,001"
York St (F),"4,758"
1 Av (L),"11,477"
103 St (1),"5,699"
103 St (6),"6,897"
"103 St (B,C)","2,186"
110 St (6),"5,513"
"116 St (2,3)","4,939"
116 St (6),"7,390"
"116 St (B,C)","3,346"
116 St-Columbia University (1),"5,814"
125 St (1),"3,677"
"125 St (2,3)","6,422"
"125 St (4,5,6)","11,943"
"125 St (A,B,C,D)","13,324"
"135 St (2,3)","6,412"
"135 St (B,C)","2,433"
137 St-City College (1),"5,763"
"14 St (A,C,E)/8 Av (L)","17,710"
"14 St (F,M,1,2,3)/6 Av (L)","18,555"
"14 St-Union Sq (L,N,Q,R,W,4,5,6)","39,138"
145 St (1),"4,840"
145 St (3),"1,614"
"145 St (A,B,C,D)","10,513"
"155 St (B,D)","1,837"
155 St (C),"1,259"
157 St (1),"5,420"
163 St-Amsterdam Av (C),"2,079"
"168 St (A,C,1)","12,957"
175 St (A),"6,270"
18 St (1),"2,995"
181 St (1),348
181 St (A),"6,319"
190 St (A),"1,466"
191 St (1),"4,612"
2 Av (F),"7,189"
207 St (1),"3,215"
215 St (1),868
23 St (1),"5,583"
23 St (6),"9,909"
"23 St (C,E)","9,310"
"23 St (F,M)","10,426"
"23 St (R,W)","7,231"
28 St (1),"5,068"
28 St (6),"8,264"
"28 St (R,W)","4,260"
3 Av (L),"3,198"
33 St (6),"11,930"
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)","45,739"
34 St-Hudson Yards (7),"8,608"
"34 St-Penn Station (1,2,3)","27,237"
"34 St-Penn Station (A,C,E)","30,078"
